"YEAR","CASEID","REGION","FAMINCOME","PERNUM","LINENO","WT20","AGE","SEX","RACE","MARST","CITIZEN","BPL","EDUCYRS","EMPSTAT","FULLPART","KIDUND18","ACT_CAREHH","ACT_CARENHH","ACT_EDUC","ACT_FOOD","ACT_HHACT","ACT_PCARE","ACT_PHONE","ACT_PROFSERV","ACT_PURCH","ACT_RELIG","ACT_SOCIAL","ACT_SPORTS","ACT_TRAVEL","ACT_VOL","ACT_WORK","BLS_PCARE_SLEEP","Sleep_Time","Time_Use"
2020,20200111190889,4,12,1,1,2.1212040773146E7,59,2,100,1,5,15000,112,1,1,0,0,0,0,25,60,570,0,0,20,0,250,0,25,0,490,510,510,1440
2020,20200111190922,1,11,1,1,4246017.063174,34,2,131,2,5,50000,217,2,1,1,105,0,0,45,0,1045,0,0,20,0,180,0,45,0,0,1015,1015,1440
2020,20200111190926,3,10,1,1,5376316.146976,34,2,100,6,4,30050,112,1,2,0,0,0,0,105,75,650,0,0,5,0,150,0,20,0,435,600,600,1440
2020,20200111190956,2,16,1,1,2.5283354809646E7,28,2,100,1,1,9900,217,1,1,0,0,0,0,45,55,500,0,0,15,0,150,105,220,0,330,450,450,1420
2020,20200111190960,2,8,1,1,5238174.113743,38,1,110,6,1,9900,316,1,1,0,0,0,0,75,190,460,0,0,45,0,150,60,20,0,420,450,450,1420
2020,20200111190968,3,5,1,1,5437726.222211,80,1,100,1,1,9900,215,5,99,0,0,0,0,105,136,900,0,0,0,0,180,0,0,0,0,900,900,1321
2020,20200111190977,3,9,1,1,6826910.816447,25,2,100,6,1,9900,217,1,1,0,0,0,0,30,290,930,0,0,0,0,190,0,0,0,0,840,840,1440
2020,20200111190985,3,16,1,1,4477515.333007,37,2,100,1,1,9900,316,2,1,1,98,0,0,70,90,670,0,2,10,0,175,0,280,0,0,600,600,1395
2020,20200111190992,1,9,1,1,4702712.192648,67,1,100,1,1,9900,320,5,99,0,0,0,0,200,217,595,0,0,15,0,258,0,95,0,0,540,540,1380
2020,20200111190999,3,7,1,1,6638233.721033,33,1,100,1,5,20000,102,1,1,1,0,0,0,10,30,1100,0,0,0,0,300,0,0,0,0,1080,1080,1440
2020,20200111191006,1,16,1,1,9151110.654254,74,1,100,1,1,9900,316,5,99,0,0,0,0,35,50,617,0,70,45,0,480,0,83,0,0,602,602,1380
2020,20200111191018,2,9,1,1,2.0005328715047E7,63,1,110,1,4,26030,112,1,1,0,0,0,0,45,90,530,0,0,0,90,240,0,25,420,0,495,495,1440
2020,20200111191048,3,16,1,1,8442983.106703,45,1,100,1,1,9900,217,1,1,1,25,0,0,70,45,540,0,0,0,0,140,0,130,0,490,515,515,1440
